poleid,created_at,created_by,pole_owner,pole_number,pole_type,extension_arm,polesiteid,loc_lat,loc_long,link,province,municipality,barangay,distance,position,remarks,photoWhole,photoTags,photoAttachments
105351,30/05/2026 9:10,ssotto,Meralco,NPT,Concrete,None,102453,14.70366578,120.9866022,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,31,Right,"#1
kb riders hub",https://polesites2.nexlogic.ph/media/photos/3e856e489e4f4dc3b43018c2eba8e45f.png,https://polesites2.nexlogic.ph/media/photos/466285c88f2c40a9b5ae1a5e4658e03f.png,https://polesites2.nexlogic.ph/media/photos/59636a691b89425d90535aa390df6573.png
105352,30/05/2026 9:13,ssotto,Meralco,q4-0023,Concrete,Single Tubular,102454,14.70384381,120.986811,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,33,Right,"#2
global oil",https://polesites2.nexlogic.ph/media/photos/382273c064fe4fc083584394174b61dd.png,https://polesites2.nexlogic.ph/media/photos/4ce58616243d4a539bee36d35b7600c4.png,https://polesites2.nexlogic.ph/media/photos/2f7010e83fde40968f8352ac8092cac3.png
105353,30/05/2026 9:15,ssotto,Meralco,q455,Concrete,Single Tubular,102455,14.70406289,120.9869851,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,32,Right,"#3
paso de blas high school",https://polesites2.nexlogic.ph/media/photos/52261a94fe0f494ab29ed658d2b36106.png,https://polesites2.nexlogic.ph/media/photos/c1d1993a2431405481adf39c0b552900.png,https://polesites2.nexlogic.ph/media/photos/b382b97b3e3e453e969f2253695b5e22.png
105354,30/05/2026 9:18,ssotto,Meralco,q4-1012,Concrete,Single Tubular,102456,14.70436914,120.9872931,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,46,Right,"#4
paso de blas auto shop",https://polesites2.nexlogic.ph/media/photos/7b12c42d8eb44cf1bd19604b94a4931a.png,https://polesites2.nexlogic.ph/media/photos/d492886708c5417aad49ad4d0242b137.png,https://polesites2.nexlogic.ph/media/photos/08ccd489a36b42e0909482396f1cc680.png
105356,30/05/2026 9:21,ssotto,Meralco,NPT,Concrete,Single Tubular,102458,14.70476164,120.9879311,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,63,Left,"#6
miracle store",https://polesites2.nexlogic.ph/media/photos/504a65be67884721a5ffe2ed684c8c5a.png,https://polesites2.nexlogic.ph/media/photos/e9b78344c1324fd2b8557fd631826b82.png,https://polesites2.nexlogic.ph/media/photos/74070d3056524cd3a7ac95bdc61c7377.png
105357,30/05/2026 9:20,jesoliman,Meralco,Q4-0024-T,Concrete,Double Tubular,102459,14.70459306,120.9875548,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,37,Left,5).,https://polesites2.nexlogic.ph/media/photos/70a754162f174f7fb063f852582eef13.png,https://polesites2.nexlogic.ph/media/photos/3cf64f2a23e34066910925257b748598.png,https://polesites2.nexlogic.ph/media/photos/af990488b41f45a2ae73f63dea7fac92.png
105359,30/05/2026 9:26,ssotto,Meralco,q4-0057,Concrete,None,102461,14.70510741,120.9886743,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,26,Right,"#8
paso de blas chapel",https://polesites2.nexlogic.ph/media/photos/d2437bee89784cc4b6457160758986f5.png,https://polesites2.nexlogic.ph/media/photos/93bdd5a644a24db1b3a3c4d16a508ee9.png,https://polesites2.nexlogic.ph/media/photos/dbc396e6ddbd4d2498cc9c982c07680a.png
105360,30/05/2026 9:25,jesoliman,Meralco,Q4-0481,Concrete,Single Tubular,102462,14.70497222,120.9884306,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,56,Left,7).paso de blas Rd beside n# 491 ,https://polesites2.nexlogic.ph/media/photos/a5a9c858d28c46128d069e40c6d4c329.png,https://polesites2.nexlogic.ph/media/photos/cffc7f1f1f324e2ab4f23ccf3f78efb3.png,https://polesites2.nexlogic.ph/media/photos/0f75dabbc19648de8da6dd69437410a0.png
105361,30/05/2026 9:29,jesoliman,Meralco,npt,Concrete,Double Tubular,102463,14.70523222,120.989077,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,50,Right,9)paso de blas rd beside china bank,https://polesites2.nexlogic.ph/media/photos/8174764ba9604a8db2d3df31af1a65e8.png,https://polesites2.nexlogic.ph/media/photos/no_pole_photo.png,https://polesites2.nexlogic.ph/media/photos/6fd305c5625f4c22976701b2642d3604.png
105362,30/05/2026 9:29,ssotto,Meralco,q4-27t,Concrete,None,102464,14.70536524,120.989284,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,26,Right,"#10
EDRICH MARKETING",https://polesites2.nexlogic.ph/media/photos/9e2ce789520a433c97dab5f3b942adf0.png,https://polesites2.nexlogic.ph/media/photos/55ae4ee95f7e4364a300c14ce402783e.png,https://polesites2.nexlogic.ph/media/photos/58042694e78e4bc19a2627d1af036736.png
105363,30/05/2026 9:31,jesoliman,Meralco,Q4-1450,Concrete,Single Tubular,102465,14.70567501,120.98952,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,44,Left,11).paso de blas rd front of. unioil ,https://polesites2.nexlogic.ph/media/photos/54be234cd1174448af21d8a8b2a6aa01.png,https://polesites2.nexlogic.ph/media/photos/792b59836e1245e096a8eabdc650a591.png,https://polesites2.nexlogic.ph/media/photos/4358add865a14c7497da315d64d1d968.png
105364,30/05/2026 9:34,ssotto,Meralco,q4-1451,Concrete,Single Tubular,102466,14.70608065,120.9899269,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,63,Left,"#12
motor star",https://polesites2.nexlogic.ph/media/photos/d0be8cdb62374885aa7f54331c039cba.png,https://polesites2.nexlogic.ph/media/photos/a7788c6358f64f3d9d843b7455d7f916.png,https://polesites2.nexlogic.ph/media/photos/6b3f736be26441c5ab766a0c8a22bcc6.png
105365,30/05/2026 9:34,jesoliman,Meralco,Q4-28T,Concrete,10-Pin Alley Arm,102467,14.70629665,120.9901664,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,35,Left,13).paso de blas rd ,https://polesites2.nexlogic.ph/media/photos/45fd2ea77a15467f94ae06b881c3f4d5.png,https://polesites2.nexlogic.ph/media/photos/b35c422c71a74c7caa1082aa1517961e.png,https://polesites2.nexlogic.ph/media/photos/0b6e945cccbf4812b0fe9ade45329f0d.png
105366,30/05/2026 9:37,jesoliman,Meralco,Q4-0096,Concrete,Single Tubular,102468,14.70654606,120.9905222,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,52,Right,15)paso de blas rd beside aub bank,https://polesites2.nexlogic.ph/media/photos/f2a072ec5f06426e92aa7c05bd9bfb7d.png,https://polesites2.nexlogic.ph/media/photos/44850057c26a41d1b724de856be88777.png,https://polesites2.nexlogic.ph/media/photos/9c3093e76a2946d78076a71de2805b22.png
105367,30/05/2026 9:40,ssotto,Meralco,q4-0029-t,Concrete,Single Tubular,102469,14.70675973,120.9907476,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,45,Right,"#15
sun top hardware",https://polesites2.nexlogic.ph/media/photos/932ae24804e14c15beb94bc06b30f7d3.png,https://polesites2.nexlogic.ph/media/photos/4be3064a609d46d9913cc42070c652fa.png,https://polesites2.nexlogic.ph/media/photos/e7c4ae56c4b544b8875020a82cc199c5.png
105369,30/05/2026 9:43,ssotto,Meralco,r4-0001t,Concrete,Single Tubular,102471,14.70721602,120.991334,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,28,Right,"#17
",https://polesites2.nexlogic.ph/media/photos/2f66546173734962bd66c72db37a913d.png,https://polesites2.nexlogic.ph/media/photos/205abcc9f2e8475d83d5821ddd5aefee.png,https://polesites2.nexlogic.ph/media/photos/9226add2f74449dd875aca6a9b7c9e2c.png
105371,30/05/2026 9:41,jesoliman,Meralco,Q5-1131,Concrete,Single Tubular,102473,14.70705059,120.9910897,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,45,Right,16).paso de blas rd beside security bank,https://polesites2.nexlogic.ph/media/photos/f74ba1e83ad8448085f168cb290f2e16.png,https://polesites2.nexlogic.ph/media/photos/d33de3b301bd40049b2d1cb2dc6d8910.png,https://polesites2.nexlogic.ph/media/photos/f71c1e37a23d4988904dfe3a28fca54e.png
105372,30/05/2026 9:48,jesoliman,Meralco,Q5-5080,Concrete,None,102474,14.7077449,120.9921618,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,39,Right,19).paso de blas rd beside union bank ,https://polesites2.nexlogic.ph/media/photos/181739e1132442f0ae9a0e2f447a6460.png,https://polesites2.nexlogic.ph/media/photos/1c138d1481484ff6bf7f02668e9a2886.png,https://polesites2.nexlogic.ph/media/photos/86452ba705064b139522c90d0483d200.png
105373,30/05/2026 9:47,ssotto,Meralco,r4-3,Concrete,Single Tubular,102475,14.70755785,120.9918811,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,74,Right,"#18
PNB9",https://polesites2.nexlogic.ph/media/photos/ede4946b5f9c42cfa24781e7ae452ea5.png,https://polesites2.nexlogic.ph/media/photos/f7dc65900dd646f39a2fe675fc90a332.png,https://polesites2.nexlogic.ph/media/photos/1464de57b4434ffb8f36ebbc1cd8edaa.png
105374,30/05/2026 9:52,jesoliman,Meralco,Q5-1136,Concrete,Double Tubular,102476,14.70794484,120.9924148,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,35,Right,(20).paso de blas rd near bridge nlex,https://polesites2.nexlogic.ph/media/photos/4cd923861ff848669689b885f8e05a1b.png,https://polesites2.nexlogic.ph/media/photos/b0258a924a554faba8795a431042e584.png,https://polesites2.nexlogic.ph/media/photos/e82036c97c7b4f47826790c2a86a4d01.png
105375,30/05/2026 9:59,ssotto,Globe,NPT,Concrete,None,102477,14.70806791,120.9926271,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,34,Right,"#21
NLEX",https://polesites2.nexlogic.ph/media/photos/8cf8ba6a3ad64f2e80d82dd616debf2c.png,https://polesites2.nexlogic.ph/media/photos/612fe479c1104a288ffc6290cc07e7ca.png,https://polesites2.nexlogic.ph/media/photos/9f094c569e8f43dc9579db90bb6f2136.png
105377,30/05/2026 10:01,jesoliman,Globe,npt,Concrete,None,102479,14.7085305,120.9931062,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Paso De Blas,65,Right,22)paso de blas rd back of. security outpost ,https://polesites2.nexlogic.ph/media/photos/4b90b2d3f813407a97535f43def4887e.png,https://polesites2.nexlogic.ph/media/photos/764f27a22dbb4d2eaf382f8c0cadd287.png,https://polesites2.nexlogic.ph/media/photos/68fb67b995a345928a3f3cb4099cac78.png
