poleid,created_at,created_by,pole_owner,pole_number,pole_type,extension_arm,polesiteid,loc_lat,loc_long,link,province,municipality,barangay,distance,position,remarks,photoWhole,photoTags,photoAttachments
105413,2026-06-01 10:29:15,ssotto,Meralco,R4-0337,Concrete,None,102515,14.7158584951462,121.00106227398,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Bagbaguin,46,Right,"#1
res#339",https://polesites2.nexlogic.ph/media/photos/0a4801f9de694402ba2f22b3c70f82eb.png,https://polesites2.nexlogic.ph/media/photos/9de78b6f976a4e898e5c1f7a7932b4fd.png,https://polesites2.nexlogic.ph/media/photos/8bdf36d60b7b4e2f8ad59ab82da1b25f.png
105414,2026-06-01 10:31:38,jesoliman,Meralco,r5-1128,Concrete,Single Tubular,102516,14.7159911987058,121.000660595881,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Bagbaguin,68,Left,2).ALONG ITC ROAD ,https://polesites2.nexlogic.ph/media/photos/8ed529bca4e2478c83f8d30703794bf6.png,https://polesites2.nexlogic.ph/media/photos/109be2eedee547fe9bd30935ee79d640.png,https://polesites2.nexlogic.ph/media/photos/0485412183484771b9af38d3dc898e9a.png
105415,2026-06-01 10:33:03,ssotto,Meralco,R5-1125,Concrete,Single Tubular,102517,14.7159673952728,120.999847181222,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Bagbaguin,63,Left,"#3
NONE",https://polesites2.nexlogic.ph/media/photos/32db743399134cd9a6f61c897eb3a7c7.png,https://polesites2.nexlogic.ph/media/photos/01035e10f2d643a4a91f16a745c73b66.png,https://polesites2.nexlogic.ph/media/photos/383808fdc50a44c0a663244164b45036.png
105416,2026-06-01 10:34:43,jesoliman,Meralco,r5-340,Concrete,Double Tubular,102518,14.7160117634056,120.999572493023,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Bagbaguin,37,Left,4).ALONG ITC ROAD ,https://polesites2.nexlogic.ph/media/photos/b6dd95dd0a914b24b347e41d4c94cf26.png,https://polesites2.nexlogic.ph/media/photos/eca59b30e9c447c8a3bddd6265c6ce42.png,https://polesites2.nexlogic.ph/media/photos/22c0217cb46041f0b135ba8387e06783.png
105417,2026-06-01 10:36:43,ssotto,Meralco,r5-1120,Wooden,None,102519,14.716393757743,120.999184685413,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Bagbaguin,55,Left,"#5
seno hard wareinc.",https://polesites2.nexlogic.ph/media/photos/e32c9b6c41324fe3adf7b04ca9c5a468.png,https://polesites2.nexlogic.ph/media/photos/c89e021de1504a2f9026d1609008230a.png,https://polesites2.nexlogic.ph/media/photos/c3da9a945ef84258a2a97f5ca02fb5e0.png
105420,2026-06-01 10:39:56,ssotto,Meralco,r5-1118,Concrete,Single Tubular,102522,14.7172405069488,120.998759020311,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Bagbaguin,59,Left,"#7
champion fine tooling corp.",https://polesites2.nexlogic.ph/media/photos/e535a7f8aed145a586e0437e5c5cdc05.png,https://polesites2.nexlogic.ph/media/photos/a83735ed3e794ef2a60959f094bf0d05.png,https://polesites2.nexlogic.ph/media/photos/c70e0a8b4dd7489a877d06ec0bd81235.png
105421,2026-06-01 10:41:47,jesoliman,Meralco,r5-343,Concrete,Single Tubular,102523,14.7177014963124,120.998547174226,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Bagbaguin,60,Left,8).ALONG ITC ROAD front of gray gate,https://polesites2.nexlogic.ph/media/photos/f38acdb9d22947b68a8cec7931a63d4c.png,https://polesites2.nexlogic.ph/media/photos/c891843f9cd3485aa4688d0bd75e17b4.png,https://polesites2.nexlogic.ph/media/photos/2d2f8a63f55e49539769c5ce57a03075.png
105422,2026-06-01 10:37:44,jesoliman,Meralco,r5-0342,Wooden,None,102524,14.7167883461742,120.998997195776,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Bagbaguin,50,Left,6),https://polesites2.nexlogic.ph/media/photos/931ace5775ab4d6f93be68432ebe5a73.png,https://polesites2.nexlogic.ph/media/photos/f6a60680320e4ef6ac68062ec1005697.png,https://polesites2.nexlogic.ph/media/photos/40e45ebd906b4c36bdec773bcc800ad2.png
105423,2026-06-01 10:44:02,ssotto,Meralco,r5-1160,Concrete,Single Tubular,102525,14.7181209126339,120.998318684019,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Bagbaguin,45,Left,"#9
estern wire inc.",https://polesites2.nexlogic.ph/media/photos/113604799f8d4290801bc19f176043bd.png,https://polesites2.nexlogic.ph/media/photos/18a34983907640dc9b10676ac6b11798.png,https://polesites2.nexlogic.ph/media/photos/6aca1e86766542af8dc23714ce833d98.png
105424,2026-06-01 10:46:22,jesoliman,Meralco,r5-0459,Concrete,Single Tubular,102526,14.7192464564894,120.998663944537,Valenzuela Pole Survey,"NCR, THIRD DISTRICT",CITY OF VALENZUELA,Bagbaguin,69,Left,10)ALONG ITC ROAD FRONT OF Lorenzo st,https://polesites2.nexlogic.ph/media/photos/5cda86ed5c3448af8e9c61175bdf2f76.png,https://polesites2.nexlogic.ph/media/photos/f936c481425141129695b621a629aa67.png,https://polesites2.nexlogic.ph/media/photos/e67d33cee3ab46c781f5b5ceefdae46b.png
